City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Waipawa,NZ,-41.4122,175.5153,58.46,49,59,6.15,broken clouds
334,Pio Xii,BR,-3.8325,-45.1525,74.68,95,58,2.84,broken clouds
335,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,58,0,4.61,clear sky
336,Boca Raton,US,26.3587,-80.0831,76.01,85,90,5.01,overcast clouds
337,Severo-Kurilsk,RU,50.6789,156.125,36.14,94,95,5.75,light rain
338,Adre,TD,13.4667,22.2,75.97,22,5,17.87,clear sky
339,Cap Malheureux,MU,-19.9842,57.6142,82.89,59,1,8.99,clear sky
340,Bhinmal,IN,25.0,72.25,82.45,57,68,2.82,broken clouds
341,Turayf,SA,31.6725,38.6637,55.65,88,40,3.44,scattered clouds
342,Begampur,IN,22.7417,88.2433,85.91,39,9,3.89,clear sky
343,Zaysan,KZ,47.4667,84.8667,15.89,64,4,6.55,clear sky
344,Ahipara,NZ,-35.1667,173.1667,62.6,79,3,3.18,clear sky
345,Nouakchott,MR,18.0858,-15.9785,75.13,60,100,11.9,overcast clouds
346,Arlit,NE,18.7369,7.3853,79.39,18,93,3.83,overcast clouds
347,Mana,GF,5.6592,-53.7767,76.32,91,93,6.26,overcast clouds
348,Manavalakurichi,IN,8.1333,77.3,86.09,69,36,16.87,scattered clouds
349,Sao Filipe,CV,14.8961,-24.4956,77.58,79,95,3.56,overcast clouds
350,Aklavik,CA,68.2191,-135.0107,0.43,87,100,9.91,overcast clouds
351,Pau Brasil,BR,-15.4642,-39.6511,68.86,99,100,2.33,overcast clouds
352,Coruripe,BR,-10.1256,-36.1756,76.03,83,75,9.82,broken clouds
353,Znamenskoye,RU,57.1281,73.8282,23.54,91,100,10.22,overcast clouds
354,Vilhena,BR,-12.7406,-60.1458,65.79,98,100,1.05,overcast clouds
355,Dongning,CN,44.0622,131.1207,32.81,51,1,3.4,clear sky
356,Teya,RU,60.3778,92.6267,2.17,80,100,6.13,overcast clouds
357,Korla,CN,41.7597,86.1469,37.47,34,0,5.86,clear sky
358,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.18,76,32,7.29,scattered clouds
359,Tigre,AR,-34.426,-58.5796,68.22,87,20,6.91,few clouds
360,Sur,OM,22.5667,59.5289,79.86,38,0,9.01,clear sky
361,Karpathos,GR,35.507,27.2132,60.76,55,20,33.38,few clouds
362,Poiana Blenchii,RO,47.3,23.75,41.23,95,100,2.24,overcast clouds
