City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Mahebourg,MU,2021-11-18 04:27:31,-20.4081,57.7,81.25,69,75,14.97
122,Gat,IL,2021-11-18 04:27:32,31.61,34.7642,65.39,83,4,1.3
123,Brewster,US,2021-11-18 04:27:32,41.3973,-73.6171,56.16,90,1,0.0
124,Kaitangata,NZ,2021-11-18 04:27:33,-46.2817,169.8464,61.93,63,70,7.85
125,Bluff,NZ,2021-11-18 04:27:34,-46.6,168.3333,56.28,63,7,15.97
126,Wajid,SO,2021-11-18 04:27:34,3.8093,43.2471,73.2,87,45,10.02
127,Udachnyy,RU,2021-11-18 04:23:54,66.4167,112.4,-20.61,99,73,3.58
128,Aswan,EG,2021-11-18 04:27:35,24.0934,32.907,71.11,44,4,11.1
129,Moranbah,AU,2021-11-18 04:27:35,-22.0016,148.0466,83.73,45,64,16.62
130,Anlu,CN,2021-11-18 04:27:36,31.1661,112.5831,66.81,46,0,10.89
131,La Ronge,CA,2021-11-18 04:27:36,55.1001,-105.2842,17.85,86,90,5.75
132,Aitape,PG,2021-11-18 04:27:37,-3.1374,142.3475,85.73,68,52,6.2
133,Amuntai,ID,2021-11-18 04:27:37,-2.4177,115.2494,86.05,72,95,3.65
134,Moussoro,TD,2021-11-18 04:27:37,13.6408,16.4901,78.87,22,4,10.07
135,Santa Maria,BR,2021-11-18 04:27:38,-29.6842,-53.8069,57.02,91,100,6.91
136,Celestun,MX,2021-11-18 04:28:38,20.8667,-90.4,77.41,78,49,12.62
137,Ohara,JP,2021-11-18 04:28:38,35.25,140.3833,64.94,83,100,3.47
138,Vaini,TO,2021-11-18 04:28:39,-21.2,-175.2,82.56,78,20,9.22
139,Prado,BR,2021-11-18 04:28:39,-17.3411,-39.2208,71.73,93,92,4.0
140,Naze,JP,2021-11-18 04:28:40,28.3667,129.4833,63.52,74,100,13.02
141,Avera,US,2021-11-18 04:28:40,33.194,-82.5271,62.71,90,0,5.86
142,Parati,BR,2021-11-18 04:28:40,-23.2178,-44.7131,73.24,78,80,3.98
143,Caravelas,BR,2021-11-18 04:28:41,-17.7125,-39.2481,71.47,94,93,3.11
144,Arman,RU,2021-11-18 04:28:41,59.7,150.1667,20.23,87,76,13.91
145,Klaksvik,FO,2021-11-18 04:28:42,62.2266,-6.589,47.32,98,100,18.95
146,Abonnema,NG,2021-11-18 04:28:42,4.7084,6.7931,77.54,90,74,3.6
147,Srednekolymsk,RU,2021-11-18 04:28:42,67.45,153.6833,-12.06,100,82,4.38
148,Whitehorse,CA,2021-11-18 04:28:43,60.7161,-135.0538,12.97,92,75,5.99
149,Cascais,PT,2021-11-18 04:28:43,38.6979,-9.4215,55.47,57,0,5.99
150,Hamilton,US,2021-11-18 04:26:26,39.1834,-84.5333,65.98,73,90,1.99
151,Airai,TL,2021-11-18 04:28:43,-8.9266,125.4092,73.24,59,39,3.47
152,Gornyy,RU,2021-11-18 04:28:44,55.1153,83.9059,14.79,93,100,18.01
